160,"CORAL BEACH RESORT MONTAZAH (EX. CORAL BEACH MONTAZAH ROTANA RESORT)",4,6,1,3.92,1,0,0,0,0,1,0
161,"CORAL BEACH RESORT TIRAN (EX. CORAL BEACH ROTANA RESORT TIRAN)",4,6,1,3.89,0,1,1,0,0,1,0
162,"CORAL HILLS RESORT",4,6,1,3.49,0,1,0,0,0,0,0
163,"CORAL SEA HOLIDAY VILLAGE RESORT",5,6,1,4.25,1,1,1,1,0,1,0
164,"CORAL SEA SENSATORI RESORT",5,6,1,4.21,1,1,1,0,0,1,0
165,"CORAL SEA WATER WORLD (EX. CORAL SEA RESORT)",5,6,1,4.36,0,1,1,0,0,1,0
166,"IBIS STYLES DAHAB LAGOON",4,10,1,4.31,0,1,0,0,0,1,0
167,"GAFFINOS BEACH RESORT",2,16,3,3.95,0,0,0,0,1,0,0
168,"MARIA ROSA",3,18,3,3.58,0,1,0,0,1,0,0
169,"ALL SEASON BADAWIA (EX. BADAWIA SHARM RESORT)",3,6,1,3.27,0,1,0,0,0,0,0
170,"BEVVAN RESORT",2,18,3,2.77,0,0,0,0,1,0,0
171,SATYAWATI,2,18,3,0,0,0,0,0,1,0,0
172,"PORT GHALIB RESORT (EX. CROWN PLAZA SAHARA OASIS PORT GHALIB)",5,11,1,4.66,0,1,1,0,0,1,0
173,"SIVA PORT GHALIB (EX. CROWN PLAZA SAHARA SANDS RESORT)",5,11,1,4.58,0,1,1,0,0,1,0
174,"DANA BEACH RESORT",5,5,1,4.72,0,1,1,0,0,1,0
175,"DAWAR EL OMDA",4,15,1,4.45,0,1,1,0,1,0,0
176,"DELTA SHARM",4,6,1,4.09,0,1,1,1,0,0,0
177,"DESERT INN",3,5,1,2.84,1,1,0,0,1,0,0
178,"DESERT ROSE RESORT",5,5,1,4.39,0,1,1,0,0,1,0
179,"DIAMOND RED SEA (EX. GOLDEN 5 DIAMOND)",5,5,1,4.07,1,0,1,0,0,0,0
180,"DIMA BEACH RESORT",4,11,1,2.6,1,0,1,0,0,1,0
181,"DIVE INN SWISS RESORT",4,6,1,4.05,0,1,1,0,0,0,0
182,"DOMINA CORAL BAY AQUAMARINE BEACH",5,6,1,3.95,1,0,1,1,0,1,0
183,"DOMINA CORAL BAY AQUAMARINE POOL",5,6,1,3.45,1,0,1,1,0,1,0
184,"DOMINA CORAL BAY HAREM",5,6,1,4.31,1,1,1,1,0,1,0
185,"DOMINA CORAL BAY HAREM DOUBLEX",5,6,1,4.25,0,1,0,1,0,1,1
186,"DOMINA CORAL BAY KINGS LAKE",5,6,1,4.49,0,1,1,1,0,1,1
187,"DOMINA CORAL BAY OASIS",5,6,1,3.99,1,1,1,1,0,1,0
188,"DOMINA CORAL BAY PRESTIGE",5,6,1,4.39,0,1,0,1,0,1,0
189,"DOMINA CORAL BAY ELISIR",5,6,1,4.4,0,1,0,1,0,1,0
190,"DOMINA CORAL BAY PRESTIGE POOL",5,6,1,3.99,0,1,0,1,0,1,0
191,"DOMINA CORAL BAY PRESTIGE SEA",5,6,1,3.99,0,1,0,1,0,1,0
192,"DOMINA CORAL BAY EL SULTAN",5,6,1,4.03,0,1,0,1,0,1,1
194,"DOMINA CORAL BAY SULTAN POOL",5,6,1,4.25,0,1,0,1,0,1,1
195,"DREAMS BEACH",5,6,1,4.38,1,0,1,0,0,1,0
196,"DREAMS BEACH RESORT MARSA ALAM",5,11,1,4.07,1,0,1,0,0,1,0
197,"DREAMS VACATION RESORT",5,6,1,4.35,0,1,1,0,0,0,0
198,"EDEN ROCK HOTEL",3,6,1,4.07,1,0,0,0,1,0,0
